!E(eV)		F(ergcm-2s-1)	Emin            Emax      	delta F(-)	delta F(+)	Observatory
2.2753E-05	5.4702E-14	2.2191E-05	2.3329E-05	1.4454E-15	1.4454E-15	ATCA_kpc
3.7233E-05	7.5995E-14	3.6313E-05	3.8175E-05	2.0372E-15	2.0372E-15	ATCA_kpc
7.0328E-05	1.1064E-13	6.8592E-05	7.2109E-05	2.4731E-15	2.4731E-15	ATCA_kpc
7.8602E-05	1.1985E-13	7.6661E-05	8.0592E-05	2.7641E-15	2.7641E-15	ATCA_kpc
1.5720E-04	2.0355E-13	1.5332E-04	1.6118E-04	6.8591E-15	6.8591E-15	ATCA_kpc
1.6548E-04	2.1827E-13	1.6139E-04	1.6967E-04	7.2201E-15	7.2201E-15	ATCA_kpc
3.4907E-06	1.3022E-14	3.3204E-06	3.6699E-06	7.5970E-16	7.5970E-16	MGPS_kpc
3.7853E-04	3.2065E-13	3.6918E-04	3.8812E-04	2.7484E-14	2.7484E-14	ALMA_kpc
4.0294E-04	3.2182E-13	3.9299E-04	4.1314E-04	2.9257E-14	2.9257E-14	ALMA_kpc
4.2818E-04	3.0053E-13	4.1760E-04	4.3902E-04	3.1089E-14	3.1089E-14	ALMA_kpc
1.4210E-03	4.1272E-13	1.3860E-03	1.4570E-03	6.8786E-14	6.8786E-14	ALMA_kpc
1.3458E-06	7.1047E-15	1.2801E-06	1.4148E-06	7.4438E-16	7.4438E-16	GMRT_kpc
2.5259E-06	1.1721E-14	2.4026E-06	2.6555E-06	1.5284E-15	1.5284E-15	GMRT_kpc
6.2113E-07	1.0583E-15	5.9081E-07	6.5300E-07	1.2814E-16	1.2814E-16	TGSS 
3.4783E-05	1.9311E-14	3.3085E-05	3.6568E-05	9.7861E-16	9.7861E-16	TANAMI_core
9.2341E-05	4.2583E-14	8.7834E-05	9.7079E-05	6.7236E-15	6.7236E-15	TANAMI_core
3.4783E-05	5.0771E-14	3.3085E-05	3.6568E-05	2.9548E-15	2.9548E-15	TANAMI_total
9.2341E-05	6.4995E-14	8.7834E-05	9.7079E-05	8.9648E-15	8.9648E-15	TANAMI_total
5.6350E-02	1.0722E-12	4.9444E-02	6.4220E-02	3.6956E-15	3.6956E-15	WISE_Nhdiff_stat
1.0350E-01	1.0998E-12	9.0813E-02	1.1795E-01	6.9460E-15	6.9460E-15	WISE_Nhdiff_stat
